
 STRATEGY REPORT:
Total positive trades: 51 (9996.040000 points); Total negative trades: 37 (-6009.070000 points);
 Net loss/profit: 3986.970000

 Trade no: 0; Direction: short; Entry date: 11/09/2019 11:00:00 CEST; Entry closing price: 12357.840000; Exit date: 13/09/2019 12:00:00 CEST; Exit closing price: 12478.490000; Loss/profit: -120.650000; Current p&l: -120.650000
 Trade no: 1; Direction: short; Entry date: 15/10/2019 10:00:00 CEST; Entry closing price: 12520.190000; Exit date: 17/10/2019 11:00:00 CEST; Exit closing price: 12780.410000; Loss/profit: -260.220000; Current p&l: -531.490000
 Trade no: 2; Direction: short; Entry date: 15/10/2019 17:00:00 CEST; Entry closing price: 12629.790000; Exit date: 18/10/2019 09:00:00 CEST; Exit closing price: 12662.250000; Loss/profit: -32.460000; Current p&l: -345.340000
 Trade no: 3; Direction: short; Entry date: 17/10/2019 12:00:00 CEST; Entry closing price: 12730.240000; Exit date: 21/10/2019 13:00:00 CEST; Exit closing price: 12736.550000; Loss/profit: -6.310000; Current p&l: -419.640000
 Trade no: 4; Direction: short; Entry date: 22/10/2019 12:00:00 CEST; Entry closing price: 12781.320000; Exit date: 24/10/2019 13:00:00 CEST; Exit closing price: 12868.130000; Loss/profit: -86.810000; Current p&l: -502.640000
 Trade no: 5; Direction: short; Entry date: 24/10/2019 10:00:00 CEST; Entry closing price: 12871.940000; Exit date: 28/10/2019 11:00:00 CET; Exit closing price: 12933.580000; Loss/profit: -61.640000; Current p&l: -568.090000
 Trade no: 6; Direction: short; Entry date: 01/11/2019 15:00:00 CET; Entry closing price: 12974.200000; Exit date: 05/11/2019 16:00:00 CET; Exit closing price: 13131.570000; Loss/profit: -157.370000; Current p&l: -725.460000
 Trade no: 7; Direction: short; Entry date: 07/11/2019 11:00:00 CET; Entry closing price: 13281.790000; Exit date: 11/11/2019 12:00:00 CET; Exit closing price: 13163.760000; Loss/profit: 118.030000; Current p&l: -607.430000
 Trade no: 8; Direction: short; Entry date: 04/12/2019 17:00:00 CET; Entry closing price: 13140.570000; Exit date: 09/12/2019 09:00:00 CET; Exit closing price: 13153.710000; Loss/profit: -13.140000; Current p&l: -613.140000
 Trade no: 9; Direction: short; Entry date: 05/12/2019 12:00:00 CET; Entry closing price: 13161.140000; Exit date: 09/12/2019 13:00:00 CET; Exit closing price: 13139.370000; Loss/profit: 21.770000; Current p&l: -598.800000
 Trade no: 10; Direction: short; Entry date: 16/12/2019 17:00:00 CET; Entry closing price: 13407.660000; Exit date: 19/12/2019 09:00:00 CET; Exit closing price: 13202.640000; Loss/profit: 205.020000; Current p&l: -393.780000
 Trade no: 11; Direction: short; Entry date: 22/01/2020 10:00:00 CET; Entry closing price: 13572.840000; Exit date: 23/01/2020 10:00:00 CET; Exit closing price: 13457.700000; Loss/profit: 115.140000; Current p&l: -278.640000
 Trade no: 12; Direction: long; Entry date: 03/02/2020 09:00:00 CET; Entry closing price: 13031.900000; Exit date: 05/02/2020 10:00:00 CET; Exit closing price: 13464.160000; Loss/profit: 432.260000; Current p&l: 153.620000
 Trade no: 13; Direction: short; Entry date: 11/02/2020 10:00:00 CET; Entry closing price: 13579.890000; Exit date: 13/02/2020 11:00:00 CET; Exit closing price: 13610.850000; Loss/profit: -30.960000; Current p&l: 122.660000
 Trade no: 14; Direction: long; Entry date: 25/02/2020 12:00:00 CET; Entry closing price: 12971.980000; Exit date: 26/02/2020 09:00:00 CET; Exit closing price: 12519.890000; Loss/profit: -452.090000; Current p&l: -329.430000
 Trade no: 15; Direction: long; Entry date: 09/03/2020 10:00:00 CET; Entry closing price: 10877.380000; Exit date: 10/03/2020 16:00:00 CET; Exit closing price: 10516.840000; Loss/profit: -360.540000; Current p&l: -689.970000
 Trade no: 16; Direction: long; Entry date: 13/03/2020 09:00:00 CET; Entry closing price: 9246.550000; Exit date: 13/03/2020 12:00:00 CET; Exit closing price: 9758.270000; Loss/profit: 511.720000; Current p&l: -178.250000
 Trade no: 17; Direction: long; Entry date: 18/03/2020 14:00:00 CET; Entry closing price: 8532.600000; Exit date: 20/03/2020 09:00:00 CET; Exit closing price: 9068.170000; Loss/profit: 535.570000; Current p&l: 357.320000
 Trade no: 18; Direction: short; Entry date: 14/04/2020 16:00:00 CEST; Entry closing price: 10742.850000; Exit date: 15/04/2020 14:00:00 CEST; Exit closing price: 10314.790000; Loss/profit: 428.060000; Current p&l: 785.380000
 Trade no: 19; Direction: short; Entry date: 30/04/2020 09:00:00 CEST; Entry closing price: 11090.820000; Exit date: 04/05/2020 09:00:00 CEST; Exit closing price: 10539.320000; Loss/profit: 551.500000; Current p&l: 1336.880000
